shape_label,phase,config,block_q,block_kv,q_layout,k_layout,v_layout,fused_bwd,block_q_dkv,block_kv_dkv,block_q_dq,block_kv_dq,ms,TFLOP/s
seq=2048 bs=2 (exp5 shape),fwd,26,2048,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6488,211.82
seq=2048 bs=2 (exp5 shape),fwd,27,2048,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6800,202.11
seq=2048 bs=2 (exp5 shape),fwd,28,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5791,237.33
seq=2048 bs=2 (exp5 shape),fwd,29,2048,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6167,222.86
seq=2048 bs=2 (exp5 shape),fwd,30,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5723,240.15
seq=2048 bs=2 (exp5 shape),fwd,31,2048,2048,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6254,219.75
seq=2048 bs=2 (exp5 shape),full,0,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.8889,218.28
seq=2048 bs=2 (exp5 shape),full,1,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.6545,249.21
seq=2048 bs=2 (exp5 shape),full,2,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,2048,n/a,n/a,1.6427,251.00
seq=2048 bs=2 (exp5 shape),full,3,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.7366,237.42
seq=2048 bs=2 (exp5 shape),full,4,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,1.5451,266.85
seq=2048 bs=2 (exp5 shape),full,5,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,2048,n/a,n/a,1.5865,259.88
seq=2048 bs=2 (exp5 shape),full,6,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,512,n/a,n/a,1.7895,230.41
seq=2048 bs=2 (exp5 shape),full,7,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,1024,n/a,n/a,1.6612,248.20
seq=2048 bs=2 (exp5 shape),full,8,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,2048,n/a,n/a,1.5357,268.48
seq=2048 bs=2 (exp5 shape),full,9,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,2.5787,159.90
seq=2048 bs=2 (exp5 shape),full,10,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,2.2154,186.12
seq=2048 bs=2 (exp5 shape),full,11,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,2048,512,2048,2.1550,191.33
seq=2048 bs=2 (exp5 shape),full,12,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,2.2311,184.81
seq=2048 bs=2 (exp5 shape),full,13,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,1.9907,207.12
seq=2048 bs=2 (exp5 shape),full,14,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,2048,1024,2048,2.0413,201.99
seq=2048 bs=2 (exp5 shape),full,15,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,512,2048,512,2.1331,193.30
seq=2048 bs=2 (exp5 shape),full,16,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,1024,2048,1024,2.0221,203.91
seq=2048 bs=2 (exp5 shape),full,17,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,2048,2048,2048,1.9475,211.71
seq=2048 bs=2 (exp5 shape),full,18,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.9595,210.42
seq=2048 bs=2 (exp5 shape),full,19,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.7250,239.02
seq=2048 bs=2 (exp5 shape),full,20,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,2048,n/a,n/a,1.7120,240.85
seq=2048 bs=2 (exp5 shape),full,21,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.8064,228.25
seq=2048 bs=2 (exp5 shape),full,22,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,1.6141,255.45
seq=2048 bs=2 (exp5 shape),full,23,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,2048,n/a,n/a,1.6560,248.98
seq=2048 bs=2 (exp5 shape),full,24,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,512,n/a,n/a,1.8593,221.76
seq=2048 bs=2 (exp5 shape),full,25,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,1024,n/a,n/a,1.7288,238.49
seq=2048 bs=2 (exp5 shape),full,26,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,2048,n/a,n/a,1.6066,256.64
seq=2048 bs=2 (exp5 shape),full,27,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,2.6464,155.80
seq=2048 bs=2 (exp5 shape),full,28,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,2.2831,180.59
seq=2048 bs=2 (exp5 shape),full,29,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,2048,512,2048,2.2233,185.45
seq=2048 bs=2 (exp5 shape),full,30,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,2.3002,179.25
seq=2048 bs=2 (exp5 shape),full,31,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,2.0592,200.23
seq=2048 bs=2 (exp5 shape),full,32,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,2048,1024,2048,2.1086,195.54
seq=2048 bs=2 (exp5 shape),full,33,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,512,2048,512,2.1998,187.43
seq=2048 bs=2 (exp5 shape),full,34,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,1024,2048,1024,2.0888,197.40
seq=2048 bs=2 (exp5 shape),full,35,2048,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,2048,2048,2048,2.0147,204.66
seq=2048 bs=2 (exp5 shape),full,36,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.9493,211.52
seq=2048 bs=2 (exp5 shape),full,37,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.7139,240.57
seq=2048 bs=2 (exp5 shape),full,38,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,2048,n/a,n/a,1.7005,242.47
seq=2048 bs=2 (exp5 shape),full,39,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.7972,229.42
seq=2048 bs=2 (exp5 shape),full,40,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,1.6034,257.14
seq=2048 bs=2 (exp5 shape),full,41,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,2048,n/a,n/a,1.6460,250.50
seq=2048 bs=2 (exp5 shape),full,42,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,512,n/a,n/a,1.8489,223.01
seq=2048 bs=2 (exp5 shape),full,43,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,1024,n/a,n/a,1.7187,239.90
seq=2048 bs=2 (exp5 shape),full,44,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,2048,2048,n/a,n/a,1.5951,258.49
seq=2048 bs=2 (exp5 shape),full,45,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,2.6378,156.31
seq=2048 bs=2 (exp5 shape),full,46,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,2.2728,181.41
seq=2048 bs=2 (exp5 shape),full,47,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,2048,512,2048,2.2141,186.22
seq=2048 bs=2 (exp5 shape),full,48,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,2.2899,180.05
seq=2048 bs=2 (exp5 shape),full,49,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,2.0493,201.20
seq=2048 bs=2 (exp5 shape),full,50,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,2048,1024,2048,2.0997,196.37
seq=2048 bs=2 (exp5 shape),full,51,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,512,2048,512,2.1901,188.26
seq=2048 bs=2 (exp5 shape),full,52,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,1024,2048,1024,2.0804,198.19
seq=2048 bs=2 (exp5 shape),full,53,2048,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,2048,2048,2048,2048,2.0045,205.70
seq=1024 bs=2 (baseline shape),fwd,0,256,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6354,54.08
seq=1024 bs=2 (baseline shape),fwd,1,256,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.4987,68.90
seq=1024 bs=2 (baseline shape),fwd,2,256,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3875,88.66
seq=1024 bs=2 (baseline shape),fwd,3,256,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3164,108.61
seq=1024 bs=2 (baseline shape),fwd,4,256,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2685,127.95
seq=1024 bs=2 (baseline shape),fwd,5,256,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2725,126.10
seq=1024 bs=2 (baseline shape),fwd,6,512,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3816,90.03
seq=1024 bs=2 (baseline shape),fwd,7,512,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3405,100.92
seq=1024 bs=2 (baseline shape),fwd,8,512,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2329,147.50
seq=1024 bs=2 (baseline shape),fwd,9,512,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2176,157.90
seq=1024 bs=2 (baseline shape),fwd,10,512,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.1976,173.85
seq=1024 bs=2 (baseline shape),fwd,11,512,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2242,153.23
seq=1024 bs=2 (baseline shape),fwd,12,1024,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2719,126.36
seq=1024 bs=2 (baseline shape),fwd,13,1024,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2950,116.48
seq=1024 bs=2 (baseline shape),fwd,14,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.1965,174.89
seq=1024 bs=2 (baseline shape),fwd,15,1024,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.2173,158.15
