exp_id	date	tps	mfu_percent	step_time_ms	peak_hbm_gib	config	status	description
exp17	2026-04-23	32663	n/a	250.8	TBD	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd_kernel=True	keep	splash fused_bwd_kernel with correct block-size config; +0.9% over exp 12 / +6.8% over baseline; loss match; saved ~2.5 ms/step on bwd pass; on its own branch perfautoresearch/v6e4-20260423-exp17-splash-fused-bwd, merged to trunk
exp18	2026-04-23	33016	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd_kernel=True	keep	fused_bwd + batch=3 on top of exp 17; +8.0% over baseline; merged to trunk; per-exp md writeup TBD (gap in wiki filing)
exp19	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|splash_block=256	discard	splash block sizes 512 -> 256 (fine-grain tiles); not merged; writeup TBD
exp20	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|pallas_rmsnorm(pallas-forge)	invalid	pallas-forge RMSNorm has no custom_vjp; backward errored; not merged; future work = hand-rolled vjp; writeup TBD
exp21	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|latency_hiding_scheduler	discard	latency-hiding scheduler revisited on splash+fused-bwd best; same compute-locality regression pattern as exp1/exp13; not merged; writeup TBD
exp22	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=4|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd	crash	batch=4 at splash+fused-bwd best; OOM at compile time; consistent with ~1.25 GiB compile-overhead pattern; not merged; writeup TBD
exp23	2026-04-23	n/a	n/a	n/a	n/a	seq=2048|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd	crash	seq=2048 b=2 still OOM at compile even with splash+fused-bwd; not merged; writeup TBD
exp24	2026-04-23	33193	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|QKVLayout.SEQ_MINOR	keep	splash QKV layout flipped HEAD_DIM_MINOR -> SEQ_MINOR; +0.5% marginal new best; merged to trunk; writeup TBD
exp25	2026-04-23	33372	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|SEQ_MINOR|splash_block=1024	keep	splash block sizes 512 -> 1024 (whole-seq one-block attention); +0.6% over exp 24; NEW BEST +9.2% over baseline; merged to trunk; writeup TBD
exp26	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|best_exp25_stack|scan_over_layers(diagnostic)	parked	scan-over-layers investigation; Option A blocked by 5 Gemma4-specific issues (kwargs/heterogeneous state_dict/Python int layer_idx/side-effect dict carry/indexed per-layer inputs); Option B (custom scan + stacked weights + kv-carry) scoped into 7 sub-problems B1-B7, deferred; scaffold scan_layers.py committed on branch only (NOT merged); diagnostic-only, no perf delta; writeup 2026-04-23-exp26-scan-over-layers-potential.md
exp27	2026-04-23	n/a	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|best_exp25_stack|tokamax_dpa(mosaic_tpu)	parked	tokamax.dot_product_attention(implementation=mosaic) for use_base2_exp; tokamax's pallas_mosaic_tpu_common raises NotImplementedError on mask.k_start (sliding-window); 21/42 Gemma4 layers fall back to XLA — fatal; also fixed absl FLAGS pre-parse bug en route; code wired but not merged; writeup 2026-04-23-exp27-tokamax-dpa-potential.md
exp28	2026-04-23	32251	n/a	254.01	TBD	seq=2048|batch=1|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|SEQ_MINOR|splash_block=1024	keep	exp25 stack at seq=2048 b=1; +0.9% over exp 14 (31,960); NOT new overall best (exp25 seq=1024 b=3 still leads at 33,372); per-step tight (σ<0.4ms); loss 3.27→1.98 clean; branch only (not merged — strictly dominated by exp25); writeup 2026-04-23-exp28-seq2048-exp25config-accepted.md
exp29	2026-04-23	33247	n/a	369.62	TBD	seq=1024|batch=3|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|SEQ_MINOR|block_q=1024|block_kv=512	discard	asymmetric splash blocks (block_q=1024, block_kv=512) vs exp25 symmetric 1024; -0.37% TPS (within noise, directionally worse); splash softmax-accumulator is sequential across KV tiles so smaller kv adds reload cost with no concurrency gain; symmetric 1024 is the sweet spot at seq=1024; not merged; writeup 2026-04-23-exp29-splash-asymmetric-rejected.md
exp30	2026-04-23	33371	n/a	368.23	TBD	seq=1024|batch=3|fsdp=4|bf16|best_exp25_stack|LIBTPU:latency_hiding_scheduler=true	inconclusive	latency_hiding_scheduler flag in isolation; -0.003% (statistically identical to exp25); clears this flag as a culprit for exp1/13/21 bundle regression — the bad actors are async_collective_fusion*; +15% compile cost (no production value); not merged; writeup 2026-04-23-exp30-latency-hiding-solo-potential.md
exp31	2026-04-23	33330	n/a	368.67	TBD	seq=1024|batch=3|fsdp=4|bf16|best_exp25_stack|LIBTPU:overlap_compute_collective_tc=true	inconclusive	overlap_compute_collective_tc flag in isolation; -0.13% (flat/noise); combined with exp30 confirms async_collective_fusion* is the culprit in exp1/13/21 bundle; not merged; writeup 2026-04-23-exp31-overlap-compute-collective-tc-potential.md
exp32	2026-04-23	12711	n/a	322.23	TBD	seq=1024|batch=2|mesh=dp2xtp2|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd|SEQ_MINOR|block=1024	discard	2D mesh dp=2 tp=2 hybrid sharding; batch=3 compile-OOM by 1.15GiB (~same pattern as exp10/11); batch=2 ran at 12,711 TPS vs baseline's 30,570 at same global batch=4 — 2.4x slower; TP collectives dominate at 2 chips/axis; refuted, not merged; sharding.py got rank-guards + hybrid 2D logic; pallas_attention.py got 2D shard_map path; writeup 2026-04-23-exp32-2d-mesh-tp2-rejected.md
exp33	2026-04-23	30657	n/a	400.82	TBD	seq=1024|batch=3|fsdp=4|bf16|best_exp25_stack|pallas_rmsnorm(hand_custom_vjp)	discard	hand-written Pallas RMSNorm forward + hand-rolled custom_vjp backward for Gemma4RMSNorm (250+ calls/step); kernel numerics verified vs JAX reference to bf16 eps; loss trajectory preserved (step 4 loss 2.19 matches exp25); TPS 30,657 = -8.1% vs exp25; refuted — custom-call boundaries break XLA loop_fusion across norm/matmul seam so each norm gets 2x extra HBM round-trips; shard_map launch overhead adds ~25 ms/step for 250 calls; kernel correct but integration-cost story wrong; not merged; writeup 2026-04-23-exp33-pallas-rmsnorm-rejected.md
